DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
04-Feb-2025,3,4,29,39,43,5,10,XRWK86561,1813
07-Feb-2025,10,23,24,29,45,8,10,ZSWQ19699,1814
11-Feb-2025,3,21,36,41,46,1,6,HTXG00209,1815
14-Feb-2025,4,14,31,36,38,3,10,"HVXX35391,HVXZ64951,JTXJ35656,MTXD66106,MVXX07807,TTWX85392,TTXB49420,TVXL10345,TVXM66825,TVZC41873,VVXJ00395,VVXJ08441,XVXN25566,ZTXH30125",1816
18-Feb-2025,5,14,25,26,40,5,7,ZWZH28008,1817
21-Feb-2025,1,3,11,20,43,2,11,XXZQ38966,1818
25-Feb-2025,17,22,23,24,44,6,11,HZBB98633,1819
28-Feb-2025,7,16,31,43,46,5,9,ZWZD80407,1820
04-Mar-2025,15,20,29,35,42,2,9,MCBT27736,1821
07-Mar-2025,6,10,27,32,48,3,8,JCBN45959,1822
11-Mar-2025,13,36,37,42,47,7,11,HFDH83622,1823
14-Mar-2025,8,10,33,35,49,2,9,JGDK20551,1824
18-Mar-2025,4,9,35,46,50,8,11,HHFG17793,1825
21-Mar-2025,9,17,18,21,50,5,12,MJFW44014,1826
25-Mar-2025,1,3,18,33,36,2,6,MKHJ22564,1827
28-Mar-2025,10,21,30,42,45,1,9,HLHV99083,1828
01-Apr-2025,9,24,30,46,49,4,12,ZMJR93122,1829
04-Apr-2025,27,39,41,45,50,5,7,TNKB70417,1830
08-Apr-2025,3,14,15,48,49,1,7,HPKS89737,1831
11-Apr-2025,14,28,34,46,49,3,8,XQKQ97029,1832
15-Apr-2025,3,31,33,38,44,6,12,MRLH58692,1833
18-Apr-2025,20,27,35,39,48,3,8,ZRKZ79394,1834
22-Apr-2025,7,28,33,37,47,9,12,MTMD30090,1835
25-Apr-2025,13,22,32,39,41,1,12,VVMJ17683,1836
29-Apr-2025,2,9,24,30,41,1,11,ZWMS62356,1837
02-May-2025,3,5,19,21,49,1,10,"HXNR64959,MWMQ34132,MXND70116,MXNN83635,TXNF71046,TXNJ86818,TXNK23029,XXNG99237,XXNR11682,ZXNJ16896",1838
06-May-2025,8,23,24,47,48,4,9,MZNV58220,1839
09-May-2025,15,18,25,29,47,5,9,ZBPQ30068,1840
13-May-2025,9,19,44,47,50,2,9,MCPZ71386,1841
16-May-2025,6,9,25,37,46,6,12,ZDQK29611,1842
20-May-2025,1,8,13,29,47,5,6,TXNL48795,1843
23-May-2025,10,29,43,46,49,7,12,MDQK77569,1844
27-May-2025,12,30,38,40,41,4,12,XHSR16699,1845
30-May-2025,4,7,14,33,36,1,5,MJTF42151,1846
03-Jun-2025,12,15,38,47,48,5,7,HKVV08213,1847
06-Jun-2025,20,21,29,30,35,2,12,VLWS75031,1848
10-Jun-2025,19,36,39,40,45,5,6,HMXQ77424,1849
13-Jun-2025,2,28,40,43,45,3,7,"HMZR34844,HNBG00357,HNBR22291,HNBZ00729,HNZR99573,JNZZ66637,MNBC35019,TNBC30976,VNBF50450,VNZV56928,XNBL07259,ZNBP60221,ZNZP75021",1850
17-Jun-2025,13,22,23,44,49,3,5,XPCD66044,1851
