DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,European Millionaire Maker,Ball Set,Machine,DrawNumber
20-Mar-2026,5,12,16,37,46,8,10,"VJWQ15952",,19,15,1930
17-Mar-2026,5,17,28,33,41,3,9,"HMFF79016",,19,15,1929
13-Mar-2026,13,17,26,41,48,4,10,"HLDQ08867,HLDV87527,JKZB23069,JLZC67854,JLZG97793,JLZK35885,TLBW02597,TLCH12618,VLXX97263,XKCV64479,XKDB23868,XLDS55221,ZLFP22665",,19,15,1928
10-Mar-2026,12,14,27,44,50,4,12,"MKXN67490",,19,15,1927
06-Mar-2026,15,16,19,28,37,6,9,"MJWS56701",,19,15,1926
03-Mar-2026,6,7,24,34,50,5,7,"VHVZ15809",,19,15,1925
27-Feb-2026,14,24,27,39,42,6,10,"HGVX32794",,21,13,1924
24-Feb-2026,10,27,40,43,47,6,10,"HFVG69795",,21,13,1923
20-Feb-2026,13,24,28,33,35,5,9,"ZDTF34718",,21,13,1922
17-Feb-2026,1,4,6,10,41,5,12,"MCSV74361",,21,13,1921
13-Feb-2026,9,13,31,37,40,6,9,"VBSJ63892",,21,13,1920
10-Feb-2026,1,17,19,34,42,5,8,"ZZRX94583",,21,13,1919
06-Feb-2026,10,13,20,23,24,6,11,"ZXRW94875",,21,13,1918
03-Feb-2026,26,27,28,34,37,4,9,"HWRT48678",,21,13,1917
30-Jan-2026,14,18,31,35,46,7,11,"HVRM54507",,20,14,1916
27-Jan-2026,4,23,42,43,47,3,9,"ZTQB95979",,20,14,1915
23-Jan-2026,4,5,13,21,42,3,10,"MSPP05803",,20,14,1914
20-Jan-2026,11,18,19,22,50,1,11,"MRPV67395",,20,14,1913
16-Jan-2026,5,17,24,29,50,5,10,"JPNM78049,JQPB18782,JQPB46716,JQPG24015,MPNM70062,MQNZ12142,TPNT33013,VMMW54129,VQNT31878,VQPF06577",,20,14,1912
13-Jan-2026,6,10,18,44,47,2,10,"HPNW21708",,20,14,1911
09-Jan-2026,1,7,10,26,34,2,4,"ZNNH87879",,20,14,1910
06-Jan-2026,5,14,17,18,31,10,12,"VMMQ91573",,20,14,1909
02-Jan-2026,8,27,42,44,46,1,10,"HLMP50646,JLLW17605,JLMN91011,MLMF46017,TLMS94560,VLLS88379,VLMF57547,VLMK76537,XHKW52401,XLMJ87876",,20,14,1908
30-Dec-2025,11,26,29,34,44,1,10,"ZKLT07723",,19,15,1907
26-Dec-2025,12,22,32,36,48,3,4,"XJLN65585",,19,15,1906
23-Dec-2025,8,26,27,29,44,11,12,"ZHLG35028",,19,15,1905
19-Dec-2025,17,21,39,43,44,1,11,"JZHK63344",,19,15,1904
16-Dec-2025,14,16,40,41,44,2,10,"HFKM19284",,19,15,1903
12-Dec-2025,7,25,30,37,41,5,11,"JDKC35786",,19,15,1902
09-Dec-2025,2,8,13,29,49,2,11,"HCJS11627",,19,15,1901
05-Dec-2025,9,15,25,34,46,8,12,"MBJB69891",,19,15,1900
02-Dec-2025,4,13,14,20,41,6,12,"ZZHN94414",,19,15,1899
28-Nov-2025,5,29,33,39,42,3,9,"XXGW96165",,21,13,1898
25-Nov-2025,6,11,17,35,44,3,7,"JWGH03530",,21,13,1897
21-Nov-2025,17,19,29,35,48,5,9,"HVFV75870",,21,13,1896
18-Nov-2025,2,4,15,21,48,6,12,"JTDW65011",,21,13,1895
14-Nov-2025,9,26,27,45,48,8,9,"ZSCT91277",,21,13,1894
11-Nov-2025,4,22,32,36,47,2,10,"JRCW45008",,21,13,1893
07-Nov-2025,11,21,39,40,43,2,8,"JQCS42996",,21,13,1892
04-Nov-2025,6,9,25,28,45,1,4,"HPCF58869",,21,13,1891
31-Oct-2025,5,14,38,43,45,7,11,"HNBL74719,HNBR62539,HNBW32363,JNBG46705,JNBM01470,TNBD07857,TNBM41670,TNBT28350,VNZT93631,ZNBG69686",,20,14,1890
28-Oct-2025,7,8,24,35,49,2,12,"ZMZX81378",,20,14,1889
24-Oct-2025,7,8,25,31,45,7,12,"VLZS07617",,20,14,1888
21-Oct-2025,5,24,29,40,42,6,12,"HKZF63683",,20,14,1887
17-Oct-2025,13,35,39,44,47,3,5,"MJXT42228",,20,14,1886
14-Oct-2025,5,8,14,16,18,3,10,"ZHXJ21923",,20,14,1885
10-Oct-2025,6,7,17,20,21,1,10,"TGXG94724",,20,14,1884
07-Oct-2025,24,39,42,43,48,5,8,"MFWZ19713",,20,14,1883
03-Oct-2025,6,12,18,25,41,2,6,"VDVZ96056",,20,14,1882
30-Sep-2025,3,8,15,17,48,2,8,"MCWF43688",,20,14,1881
26-Sep-2025,4,17,25,28,44,5,11,"TBVX53006",,20,14,1880
